freq_hz,psd_fake
0.000000,0.000005
0.312500,0.000022
0.625000,0.000012
0.937500,0.000005
1.250000,0.000005
1.562500,0.000002
1.875000,0.000001
2.187500,0.000001
2.500000,0.000002
2.812500,0.000001
3.125000,0.000001
3.437500,0.000002
3.750000,0.000002
4.062500,0.000002
4.375000,0.000002
4.687500,0.000003
5.000000,0.000003
5.312500,0.000003
5.625000,0.000003
5.937500,0.000002
6.250000,0.000002
6.562500,0.000002
6.875000,0.000002
7.187500,0.000003
7.500000,0.000005
7.812500,0.000003
8.125000,0.000002
8.437500,0.000002
8.750000,0.000002
9.062500,0.000002
9.375000,0.000003
9.687500,0.000004
10.000000,0.000005
10.312500,0.000004
10.625000,0.000002
10.937500,0.000003
11.250000,0.000003
11.562500,0.000002
11.875000,0.000003
12.187500,0.000003
12.500000,0.000004
12.812500,0.000002
13.125000,0.000002
13.437500,0.000002
13.750000,0.000001
14.062500,0.000002
14.375000,0.000004
14.687500,0.000003
15.000000,0.000001
15.312500,0.000002
15.625000,0.000003
15.937500,0.000002
16.250000,0.000001
16.562500,0.000001
16.875000,0.000001
17.187500,0.000003
17.500000,0.000002
17.812500,0.000003
18.125000,0.000002
18.437500,0.000002
18.750000,0.000002
19.062500,0.000002
19.375000,0.000004
19.687500,0.000003
20.000000,0.000006
20.312500,0.000003
20.625000,0.000002
20.937500,0.000002
21.250000,0.000003
21.562500,0.000003
21.875000,0.000002
22.187500,0.000004
22.500000,0.000004
22.812500,0.000004
23.125000,0.000002
23.437500,0.000002
23.750000,0.000003
24.062500,0.000003
24.375000,0.000004
24.687500,0.000004
25.000000,0.000007
25.312500,0.000011
25.625000,0.000008
25.937500,0.000004
26.250000,0.000002
26.562500,0.000002
26.875000,0.000003
27.187500,0.000003
27.500000,0.000005
27.812500,0.000004
28.125000,0.000004
28.437500,0.000003
28.750000,0.000004
29.062500,0.000006
29.375000,0.000004
29.687500,0.000010
30.000000,0.000009
30.312500,0.000008
30.625000,0.000009
30.937500,0.000010
31.250000,0.000007
31.562500,0.000004
31.875000,0.000003
32.187500,0.000004
32.500000,0.000006
32.812500,0.000004
33.125000,0.000003
33.437500,0.000003
33.750000,0.000003
34.062500,0.000005
34.375000,0.000004
34.687500,0.000004
35.000000,0.000005
35.312500,0.000005
35.625000,0.000005
35.937500,0.000004
36.250000,0.000003
36.562500,0.000004
36.875000,0.000007
37.187500,0.000007
37.500000,0.000005
37.812500,0.000005
38.125000,0.000007
38.437500,0.000008
38.750000,0.000007
39.062500,0.000009
39.375000,0.000011
39.687500,0.000011
40.000000,0.000005
40.312500,0.000004
40.625000,0.000005
40.937500,0.000004
41.250000,0.000003
41.562500,0.000002
41.875000,0.000002
42.187500,0.000005
42.500000,0.000008
42.812500,0.000010
43.125000,0.000016
43.437500,0.000010
43.750000,0.000007
44.062500,0.000006
44.375000,0.000004
44.687500,0.000006
45.000000,0.000007
45.312500,0.000005
45.625000,0.000003
45.937500,0.000003
46.250000,0.000002
46.562500,0.000004
46.875000,0.000006
47.187500,0.000004
47.500000,0.000004
47.812500,0.000008
48.125000,0.000019
48.437500,0.000041
48.750000,0.000051
49.062500,0.000028
49.375000,0.000021
49.687500,0.000032
50.000000,0.000033
50.312500,0.000012
50.625000,0.000009
50.937500,0.000008
51.250000,0.000006
51.562500,0.000004
51.875000,0.000003
52.187500,0.000005
52.500000,0.000005
52.812500,0.000005
53.125000,0.000006
53.437500,0.000013
53.750000,0.000029
54.062500,0.000071
54.375000,0.000132
54.687500,0.000111
55.000000,0.000062
55.312500,0.000061
55.625000,0.000072
55.937500,0.000054
56.250000,0.000059
56.562500,0.000077
56.875000,0.000084
57.187500,0.000078
57.500000,0.000063
57.812500,0.000047
58.125000,0.000054
58.437500,0.000050
58.750000,0.000059
59.062500,0.000074
59.375000,0.000076
59.687500,0.000066
60.000000,0.000030
60.312500,0.000009
60.625000,0.000008
60.937500,0.000013
61.250000,0.000012
61.562500,0.000010
61.875000,0.000008
62.187500,0.000009
62.500000,0.000003
62.812500,0.000005
63.125000,0.000008
63.437500,0.000011
63.750000,0.000017
64.062500,0.000018
64.375000,0.000065
64.687500,0.000125
65.000000,0.000229
65.312500,0.000439
65.625000,0.000561
65.937500,0.000487
66.250000,0.000317
66.562500,0.000132
66.875000,0.000067
67.187500,0.000044
67.500000,0.000027
67.812500,0.000023
68.125000,0.000026
68.437500,0.000026
68.750000,0.000026
69.062500,0.000020
69.375000,0.000020
69.687500,0.000021
70.000000,0.000024
70.312500,0.000020
70.625000,0.000022
70.937500,0.000014
71.250000,0.000020
71.562500,0.000024
71.875000,0.000032
72.187500,0.000034
72.500000,0.000069
72.812500,0.000063
73.125000,0.000038
73.437500,0.000118
73.750000,0.000328
74.062500,0.000355
74.375000,0.000229
74.687500,0.000103
75.000000,0.000088
75.312500,0.000050
75.625000,0.000049
75.937500,0.000029
76.250000,0.000021
76.562500,0.000025
76.875000,0.000024
77.187500,0.000032
77.500000,0.000036
77.812500,0.000050
78.125000,0.000053
78.437500,0.000056
78.750000,0.000053
79.062500,0.000043
79.375000,0.000033
